"","Movie Title","Review Title","Reviewer","Review","Date","Ratings","Type Of Movies"
"11","Breaking Bad (2008–2013)","Really Great","FiRE010","Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!","4 July 2021","10/10",NA
"12","Breaking Bad (2008–2013)","Damn near perfect!","Supermanfan-13","Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!","9 November 2021","10/10",NA
"13","Breaking Bad (2008–2013)","Absolutely Brilliant!!","DiCaprioFan1","'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox","9 December 2022","10/10",NA
"14","Breaking Bad (2008–2013)","Among the best and most addictive shows there is","TheLittleSongbird","One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan.","13 November 2017","10/10",NA
"15","Breaking Bad (2008–2013)","99.1% pure","KinoKoopaKid","I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.","30 July 2021","10/10",NA
"16","Breaking Bad (2008–2013)","The Best","jehuschultz","If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic.","19 February 2020","10/10",NA
"17","Breaking Bad (2008–2013)","If you mix Scarface, Robin Hood and maybe Tyler Durden with enough meth - you'll get a mean cocktail called 'Heisenberg'","gogoschka-1","Re-Watched it 7 times and counting. I guess I liked it.","12 January 2014","10/10",NA
"18","Breaking Bad (2008–2013)","It's ok I guess","bruhperson","This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily.I don't know how Vince Gilligan think this serie. It is real complicated and amazing story. He's a true genius that deserves so much more. He shared the golden age of TV Shows with Game of Thrones. It is best crime, drama TV series possible. And it ended with the best way possible.The actings are quite remarkable. I don't know how we were'nt know the name Bryan Cranston, I don't know how he didn't became a big star before this show. Giancarlo Esposito, Aaron Paul, Anna Gunn Jonathan Bakns and Bob Odenkirk is also pretty amazing. Nearly all cast did a perfect job.Cinematography is so good in this serie. Not only looks great but also brings realistic style with that shaking camera sequences. You feel the moment with silence.Costume Design is also underrated. Did you know that characters has his own colors that reflects his personality? I know, it isn't a secret, many people know that but it really is something great.Also makeups are pretty good, did you know Bryan Cranston had hair when he's bald? Yes there was hair behind that. I know it's not that hard thing to do, It's not magic. But also wounded characters are too realistic. Especially Jesse's wounded face.","7 March 2019","10/10",NA
"19","Breaking Bad (2008–2013)","Every bit as good as you've heard","Leofwine_draca","Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION.","5 May 2021","10/10",NA
"20","Breaking Bad (2008–2013)","Truly Amazing, Wonderful, 99.1 Pure Perfect ⭐","EVON1TY","Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u).","3 March 2023","10/10",NA
"21","Breaking Bad (2008–2013)","Really Great","FiRE010","Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!","4 July 2021","10/10",NA
"22","Breaking Bad (2008–2013)","Damn near perfect!","Supermanfan-13","Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!","9 November 2021","10/10",NA
"23","Breaking Bad (2008–2013)","Absolutely Brilliant!!","DiCaprioFan1","'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox","9 December 2022","10/10",NA
"24","Breaking Bad (2008–2013)","Among the best and most addictive shows there is","TheLittleSongbird","One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan.","13 November 2017","10/10",NA
"25","Breaking Bad (2008–2013)","99.1% pure","KinoKoopaKid","I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.","30 July 2021","10/10",NA
"26","Breaking Bad (2008–2013)","The Best","jehuschultz","If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic.","19 February 2020","10/10",NA
"27","Breaking Bad (2008–2013)","If you mix Scarface, Robin Hood and maybe Tyler Durden with enough meth - you'll get a mean cocktail called 'Heisenberg'","gogoschka-1","Re-Watched it 7 times and counting. I guess I liked it.","12 January 2014","10/10",NA
"28","Breaking Bad (2008–2013)","It's ok I guess","bruhperson","This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily.I don't know how Vince Gilligan think this serie. It is real complicated and amazing story. He's a true genius that deserves so much more. He shared the golden age of TV Shows with Game of Thrones. It is best crime, drama TV series possible. And it ended with the best way possible.The actings are quite remarkable. I don't know how we were'nt know the name Bryan Cranston, I don't know how he didn't became a big star before this show. Giancarlo Esposito, Aaron Paul, Anna Gunn Jonathan Bakns and Bob Odenkirk is also pretty amazing. Nearly all cast did a perfect job.Cinematography is so good in this serie. Not only looks great but also brings realistic style with that shaking camera sequences. You feel the moment with silence.Costume Design is also underrated. Did you know that characters has his own colors that reflects his personality? I know, it isn't a secret, many people know that but it really is something great.Also makeups are pretty good, did you know Bryan Cranston had hair when he's bald? Yes there was hair behind that. I know it's not that hard thing to do, It's not magic. But also wounded characters are too realistic. Especially Jesse's wounded face.","7 March 2019","10/10",NA
"29","Breaking Bad (2008–2013)","Every bit as good as you've heard","Leofwine_draca","Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION.","5 May 2021","10/10",NA
"30","Breaking Bad (2008–2013)","Truly Amazing, Wonderful, 99.1 Pure Perfect ⭐","EVON1TY","Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u).","3 March 2023","10/10",NA
"31","Breaking Bad (2008–2013)","Really Great","FiRE010","Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!","4 July 2021","10/10",NA
"32","Breaking Bad (2008–2013)","Damn near perfect!","Supermanfan-13","Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!","9 November 2021","10/10",NA
"33","Breaking Bad (2008–2013)","Absolutely Brilliant!!","DiCaprioFan1","'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox","9 December 2022","10/10",NA
"34","Breaking Bad (2008–2013)","Among the best and most addictive shows there is","TheLittleSongbird","One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan.","13 November 2017","10/10",NA
"35","Breaking Bad (2008–2013)","99.1% pure","KinoKoopaKid","I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.","30 July 2021","10/10",NA
"36","Breaking Bad (2008–2013)","The Best","jehuschultz","If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic.","19 February 2020","10/10",NA
"37","Breaking Bad (2008–2013)","If you mix Scarface, Robin Hood and maybe Tyler Durden with enough meth - you'll get a mean cocktail called 'Heisenberg'","gogoschka-1","Re-Watched it 7 times and counting. I guess I liked it.","12 January 2014","10/10",NA
"38","Breaking Bad (2008–2013)","It's ok I guess","bruhperson","This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily.I don't know how Vince Gilligan think this serie. It is real complicated and amazing story. He's a true genius that deserves so much more. He shared the golden age of TV Shows with Game of Thrones. It is best crime, drama TV series possible. And it ended with the best way possible.The actings are quite remarkable. I don't know how we were'nt know the name Bryan Cranston, I don't know how he didn't became a big star before this show. Giancarlo Esposito, Aaron Paul, Anna Gunn Jonathan Bakns and Bob Odenkirk is also pretty amazing. Nearly all cast did a perfect job.Cinematography is so good in this serie. Not only looks great but also brings realistic style with that shaking camera sequences. You feel the moment with silence.Costume Design is also underrated. Did you know that characters has his own colors that reflects his personality? I know, it isn't a secret, many people know that but it really is something great.Also makeups are pretty good, did you know Bryan Cranston had hair when he's bald? Yes there was hair behind that. I know it's not that hard thing to do, It's not magic. But also wounded characters are too realistic. Especially Jesse's wounded face.","7 March 2019","10/10",NA
"39","Breaking Bad (2008–2013)","Every bit as good as you've heard","Leofwine_draca","Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION.","5 May 2021","10/10",NA
"40","Breaking Bad (2008–2013)","Truly Amazing, Wonderful, 99.1 Pure Perfect ⭐","EVON1TY","Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u).","3 March 2023","10/10",NA
"41","Breaking Bad (2008–2013)","Really Great","FiRE010","Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!","4 July 2021","10/10",NA
"42","Breaking Bad (2008–2013)","Damn near perfect!","Supermanfan-13","Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!","9 November 2021","10/10",NA
"43","Breaking Bad (2008–2013)","Absolutely Brilliant!!","DiCaprioFan1","'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox","9 December 2022","10/10",NA
"44","Breaking Bad (2008–2013)","Among the best and most addictive shows there is","TheLittleSongbird","One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan.","13 November 2017","10/10",NA
"45","Breaking Bad (2008–2013)","99.1% pure","KinoKoopaKid","I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.","30 July 2021","10/10",NA
"46","Breaking Bad (2008–2013)","The Best","jehuschultz","If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom.The show plays like the daydream fantasy of any underachieving, struggling middle class family man who's had to bury all his dreams (I mean: who wouldn't want to be a meth-kingpin for a little while?), before it turns into a nightmare. One could almost say that 'Heisenberg' is Walter White's 'Tyler Durden'(for those who don't get the reference: watch 'Fight Club' - you won't regret it).For pure entertainment value, this is simply the best show I've ever seen. Every single one of the main characters has already reached the status of a screen icon - when does that ever happen?! Most fun I've ever had watching a TV-show and an instant classic.","19 February 2020","10/10",NA
