"","title","author","subject","abstract","meta"
"11","From S-matrix theory to strings: Scattering data and the commitment to non-arbitrariness","Robert van Leeuwen","History and Philosophy of Physics (physics.hist-ph)","The early history of string theory is marked by a shift from strong interaction physics to quantum gravity. The first string models and associated theoretical framework were formulated in the late 1960s and early 1970s in the context of the S-matrix program for the strong interactions. In the mid-1970s, the models were reinterpreted as a potential theory unifying the four fundamental forces. This paper provides a historical analysis of how string theory was developed out of S-matrix physics, aiming to clarify how modern string theory, as a theory detached from experimental data, grew out of an S-matrix program that was strongly dependent upon observable quantities. Surprisingly, the theoretical practice of physicists already turned away from experiment before string theory was recast as a potential unified quantum gravity theory. With the formulation of dual resonance models (the ""hadronic string theory""), physicists were able to determine almost all of the models' parameters on the basis of theoretical reasoning. It was this commitment to ""non-arbitrariness"", i.e., a lack of free parameters in the theory, that initially drove string theorists away from experimental input, and not the practical inaccessibility of experimental data in the context of quantum gravity physics. This is an important observation when assessing the role of experimental data in string theory.","Mon, 11 Mar 2024 13:05:08 UTC (712 KB)"
"12","Unexpected Quantum Indeterminacy","Andrea Oldofredi","History and Philosophy of Physics (physics.hist-ph)","Recent philosophical discussions about metaphysical indeterminacy have been substantiated with the idea that quantum mechanics, one of the most successful physical theories in the history of science, provides explicit instances of worldly indefiniteness. Against this background, several philosophers underline that there are alternative formulations of quantum theory in which such indeterminacy has no room and plays no role. A typical example is Bohmian mechanics in virtue of its clear particle ontology. Contrary to these latter claims, this paper aims at showing that different pilot-wave theories do in fact instantiate diverse forms of metaphysical indeterminacy. Namely, I argue that there are various questions about worldly states of affairs that cannot be determined by looking exclusively at their ontologies and dynamical laws. Moreover, it will be claimed that Bohmian mechanics generates a new form of modal indeterminacy. Finally, it will be concluded that ontological clarity and indeterminacy are not mutually exclusive, i.e., the two can coexist in the same theory.","Mon, 11 Mar 2024 10:30:09 UTC (58 KB)"
"13","AC-EVAL: Evaluating Ancient Chinese Language Understanding in Large Language Models","Yuting Wei, Yuanxing Xu, Xinru Wei, Simin Yang, Yangfu Zhu, Yuqing Li, Di Liu, Bin Wu","Computation and Language (cs.CL)","Given the importance of ancient Chinese in capturing the essence of rich historical and cultural heritage, the rapid advancements in Large Language Models (LLMs) necessitate benchmarks that can effectively evaluate their understanding of ancient contexts. To meet this need, we present AC-EVAL, an innovative benchmark designed to assess the advanced knowledge and reasoning capabilities of LLMs within the context of ancient Chinese. AC-EVAL is structured across three levels of difficulty reflecting different facets of language comprehension: general historical knowledge, short text understanding, and long text comprehension. The benchmark comprises 13 tasks, spanning historical facts, geography, social customs, art, philosophy, classical poetry and prose, providing a comprehensive assessment framework. Our extensive evaluation of top-performing LLMs, tailored for both English and Chinese, reveals a substantial potential for enhancing ancient text comprehension. By highlighting the strengths and weaknesses of LLMs, AC-EVAL aims to promote their development and application forward in the realms of ancient Chinese language education and scholarly research. The AC-EVAL data and evaluation code are available at this https URL.","Mon, 11 Mar 2024 10:24:37 UTC (1,076 KB)"
"14","Bernardo Dessau, fisico, scienziato, maestro, da Bologna a Perugia tra i marosi del secolo breve","Giovanni Carlotti (University of Perugia, Italia)","History and Philosophy of Physics (physics.hist-ph)","Seventy-five years ago, Bernardo Dessau passed away. He had been the sole professor of Physics at the University of Perugia for thirty years. With this brief contribution we intend to repay a debt of gratitude, first of all because his scientific merits were probably underestimated, having spent the first fifteen years of his career under the shadow of the great Augusto Righi in Bologna, where he also witnessed meetings with the young Marconi. He was then relegated to the Faculty of Medicine of Perugia, without a real laboratory, disregarded by the national scientific community and unable to move to better equipped locations. Nevertheless, he proved to be a gifted teacher and popularizer of science. He published a comprehensive three-volume physics textbook that was widely used in Italy and abroad. Despite becoming an Italian citizen in 1894, Dessau's German origins led to his suspension from service during World War I. Furthermore, his Jewish identity made him a target of Nazi-fascist antisemitism. He was dismissed from both the University of Perugia and from the Italian Society of Physics, of which he had been a member since its beginning, fortunately escaping deportation.","Sun, 10 Mar 2024 07:11:27 UTC (3,012 KB)"
"15","QCD at 50: Golden Anniversary, Golden Insights, Golden Opportunities","Frank Wilczek","High Energy Physics - Phenomenology (hep-ph)","The bulk of this paper centers around the tension between confinement and freedom in QCD. I discuss how it can be understood heuristically as a manifestation of self-adhesive glue and how it fits within the larger contexts of energy-time uncertainty and $\textit{real virtuality}$. I discuss the possible emergence of $\textit{treeons}$ as a tangible ingredient of (at least) pure gluon $SU(3)$. I propose $\textit{flux channeling}$ as a method to address that and allied questions about triality flux numerically, and indicate how to implement it for electric and magnetic flux in material systems. That bulk is framed with broad-stroke, necessarily selective sketches of the past and possible future of strong interaction physics. At the end, I've added an expression of gratitude for my formative experience at the Erice school, in 1973.","Sat, 9 Mar 2024 23:12:41 UTC (13,281 KB)"
"16","And Then the Hammer Broke: Reflections on Machine Ethics from Feminist Philosophy of Science","Andre Ye","Computers and Society (cs.CY)","Vision is an important metaphor in ethical and political questions of knowledge. The feminist philosopher Donna Haraway points out the ``perverse'' nature of an intrusive, alienating, all-seeing vision (to which we might cry out ``stop looking at me!''), but also encourages us to embrace the embodied nature of sight and its promises for genuinely situated knowledge. Current technologies of machine vision -- surveillance cameras, drones (for war or recreation), iPhone cameras -- are usually construed as instances of the former rather than the latter, and for good reasons. However, although in no way attempting to diminish the real suffering these technologies have brought about in the world, I make the case for understanding technologies of computer vision as material instances of embodied seeing and situated knowing. Furthermore, borrowing from Iris Murdoch's concept of moral vision, I suggest that these technologies direct our labor towards self-reflection in ethically significant ways. My approach draws upon paradigms in computer vision research, phenomenology, and feminist epistemology. Ultimately, this essay is an argument for directing more philosophical attention from merely criticizing technologies of vision as ethically deficient towards embracing them as complex, methodologically and epistemologically important objects.","Sat, 9 Mar 2024 05:50:32 UTC (670 KB)"
"17","The Vatican and the Fallibility of Science: Augustine, Copernicus, Darwin and Race","Christopher M. Graney","History and Philosophy of Physics (physics.hist-ph)","This paper provides an overview of work, published since the opening of the archives of the Vatican Congregation for the Doctrine of the Faith at the end of the twentieth century, regarding the Vatican confronting evolution in the nineteenth century. It argues that this work, considered in light of recent studies of scientific writings by Jesuit astronomers who in the seventeenth century were opposed to the ideas of Copernicus, points to interesting things yet to be learned regarding the Vatican's actions on heliocentrism. Concern for Scripture and for the fallible and consequential nature of science, together with the processes used by the Vatican in these confrontations, inevitably led to messy results in these well-known ""religion and science"" confrontations. Nevertheless, these confrontations suggest that what the Vatican was attempting to do in confronting evolution or heliocentrism is something that is needed in science, and something that will be done in the future, probably not by the Vatican, and probably in a fashion not less messy.","Fri, 8 Mar 2024 18:37:11 UTC (1,283 KB)"
"18","C.V. Raman as a Science Communicator: A Historical Perspective","G.V. Pavan Kumar","History and Philosophy of Physics (physics.hist-ph)","C.V. Raman (1888 - 1970) was a creative scientist, enthusiastic teacher and a science celebrity in India. In all these roles, he communicated science effectively. In this essay, I ask how and why did he communicate science. I take a few examples from his research writings and show his ability to explain science lucidly. By looking into his thoughts on teaching and those of his students, I explore Raman, the teacher. Finally, I discuss a few aspects of his methods to communicate science to the public. I emphasize his exposition and reveal a dichotomy.","Tue, 27 Feb 2024 11:51:13 UTC (487 KB)"
"19","Promising Stabs in the Dark: Theory Virtues and Pursuit-Worthiness in the Dark Energy Problem","William J. Wolf, Patrick M. Duerr","History and Philosophy of Physics (physics.hist-ph)","The paper argues that we ought to conceive of the Dark Energy problem -- the question of how to account for observational data, naturally interpreted as accelerated expansion of the universe -- as a crisis of underdetermined pursuit-worthiness. Not only are the various approaches to the Dark Energy problem evidentially underdetermined; at present, no compelling reasons single out any of them as more likely to be true than the other. More vexingly for working scientists, none of the approaches stands out as uncontroversially preferable over its rivals in terms of its rationally warranted promise, i.e. the reasons to further work on, explore and develop it. We demonstrate this claim by applying a Peircean economic model of pursuit-worthiness in terms of a cognitive cost/benefit estimate -- with the instantiation of theory virtues as key indicators of cognitive gains -- to the four main Dark Energy proposals (the cosmological constant approach, modified gravity, quintessence, and inhomogeneous cosmologies). Our analysis yields that these approaches do not admit of an unambiguous, or uncontroversial, ranking with respect to which ansatz deserves distinguished attention and research efforts. The overall methodological counsel that our analysis underwrites recommends a pragmatic double research strategy forward: to encourage and foster theory pluralism and the search for tests -- with the goal of enhancing the testability of the $\Lambda$CDM model and ""testing it to destruction"".","Thu, 7 Mar 2024 09:49:37 UTC (105 KB)"
"20","Relational Quantum Mechanics, Quantum Relativism, and the Iteration of Relativity","Timotheus Riedel","History and Philosophy of Physics (physics.hist-ph)","The idea that the dynamical properties of quantum systems are invariably relative to other systems has recently regained currency. Using Relational Quantum Mechanics (RQM) for a case study, this paper calls attention to a question that has been underappreciated in the debate about quantum relativism: the question of whether relativity iterates. Are there absolute facts about the properties one system possesses relative to a specified reference, or is this again a relative matter, and so on? It is argued that RQM (in its best-known form) is committed to what I call the Unrestricted Iteration Principle (UIP), and thus to an infinite regress of relativisations. This principle plays a crucial role in ensuring the communicability and coherence of interaction outcomes across observers. It is, however, shown to be incompatible with the widespread, conservative reading of RQM in terms of relations, instead necessitating the adoption of the more unorthodox notion of perspectival facts. I conclude with some reflections on the current state of play in perspectivist versions of RQM and quantum relativism more generally, underscoring both the need for further conceptual development and the importance of the iteration principle for an accurate cost-benefit analysis of such interpretations.","Wed, 6 Mar 2024 21:48:41 UTC (153 KB)"
"21","Lars Brink: November 12, 1943 - October 29, 2022","Bengt E.W. Nilsson (Chalmers U. Tech.), Björn Jonson (Chalmers U. Tech.)","History and Philosophy of Physics (physics.hist-ph)","We give some personal reflections on the person and scientist Lars Brink and on some of his scientific achievements. Our relations to Lars are briefly described in [1] and [2], while the sources relevant for this text are summarised in [3].","Wed, 6 Mar 2024 15:11:02 UTC (11,100 KB)"
"22","Astronomical Lunisolar Cycles and Late Antique Chronology","D. N. Starostin","History and Philosophy of Physics (physics.hist-ph)","This article advances the hypothesis that the heightened eschatological sensitivity evident among the historians writing in the 5th century and its weaker echos in the time of Charlemagne were caused by the irregularities of the the lunisolar calendar and its particular realization, the Easter calendar. The lunisolar calendar that Christians used for the calculation of the date of the Easter had a number of key periods when the cycles of the Sun and the Moon came in sync in relationship to the beginning of the count and thus produced an effect of the times repeating themselves or ending with the nearly precise astronomical repetition. It is shown that Late Antique scholars who were actively involved in the construction of the Christian history's chronology were limited in their choices by the astronomical peculiarities of the Earth-Moon system. The total conjunctions of the astronomical Solar and Lunar calendars took place, some within the 1st century CE, and the next one, in 483 CE. This was also a special year because the lunar calendar lost one day. Thus the 5th century was the time of heightened expectations of whether the calendar and the Moon's showings will repeat those that accompanied the birth of Jesus. The Full Supermoon (or whatever phase it was on December 25th, 1 BCE) may have repeated in 410 CE (the entry of Goths into Rome), in 467 CE and in 476 CE (the Fall of the Roman Empire), marking the coming of the time very similar to Jesus' birth. The Full Moon was supposed to repeat December 25th, 800 CE and in the year 1000 CE. This may have determined the setting of the biblical calendar in a way that put the birth of Christ on 5199 CE (making the year 800 CE, the year of the Full Supermoon or of its phase on December 25th, 1 BCE) a critical turning point.","Wed, 6 Mar 2024 13:08:51 UTC (32 KB)"
"23","Should We Fear Large Language Models? A Structural Analysis of the Human Reasoning System for Elucidating LLM Capabilities and Risks Through the Lens of Heidegger's Philosophy","Jianqiiu Zhang","Artificial Intelligence (cs.AI)","In the rapidly evolving field of Large Language Models (LLMs), there is a critical need to thoroughly analyze their capabilities and risks. Central to our investigation are two novel elements. Firstly, it is the innovative parallels between the statistical patterns of word relationships within LLMs and Martin Heidegger's concepts of ""ready-to-hand"" and ""present-at-hand,"" which encapsulate the utilitarian and scientific altitudes humans employ in interacting with the world. This comparison lays the groundwork for positioning LLMs as the digital counterpart to the Faculty of Verbal Knowledge, shedding light on their capacity to emulate certain facets of human reasoning. Secondly, a structural analysis of human reasoning, viewed through Heidegger's notion of truth as ""unconcealment"" is conducted This foundational principle enables us to map out the inputs and outputs of the reasoning system and divide reasoning into four distinct categories. Respective cognitive faculties are delineated, allowing us to place LLMs within the broader schema of human reasoning, thus clarifying their strengths and inherent limitations. Our findings reveal that while LLMs possess the capability for Direct Explicative Reasoning and Pseudo Rational Reasoning, they fall short in authentic rational reasoning and have no creative reasoning capabilities, due to the current lack of many analogous AI models such as the Faculty of Judgement. The potential and risks of LLMs when they are augmented with other AI technologies are also evaluated. The results indicate that although LLMs have achieved proficiency in some reasoning abilities, the aspiration to match or exceed human intellectual capabilities is yet unattained. This research not only enriches our comprehension of LLMs but also propels forward the discourse on AI's potential and its bounds, paving the way for future explorations into AI's evolving landscape.","Tue, 5 Mar 2024 19:40:53 UTC (601 KB)"
"24","A very, very peculiar telescope of the 1610s","Paolo Del Santo","History and Philosophy of Physics (physics.hist-ph)","A re-examination of a well-known iconographic source, the ""Allegory of Sight"" by Jan Brueghel the Elder and Peter Paul Rubens, reveals that one of the two telescopes depicted in the painting has a highly unusual,and until now unknown to the historians of the telescope, particularity.","Tue, 5 Mar 2024 10:59:04 UTC (1,269 KB)"
"25","A ""User Experience 3.0 (UX 3.0)"" Paradigm Framework: User Experience Design for Human-Centered AI Systems","Wei Xu","Human-Computer Interaction (cs.HC)","The human-centered artificial intelligence (HCAI) design approach, the user-centered design (UCD) version in the intelligence era, has been promoted to address potential negative issues caused by AI technology; user experience design (UXD) is specifically called out to facilitate the design and development of human-centered AI systems. Over the last three decades, user experience (UX) practice can be divided into three stages in terms of technology platform, user needs, design philosophy, ecosystem, scope, focus, and methodology of UX practice. UX practice is moving towards the intelligence era. Still, the existing UX paradigm mainly aims at non-intelligent systems and lacks a systematic approach to address UX for designing and developing human-centered AI products and systems. The intelligence era has put forward new demands on the UX paradigm. This paper proposes a ""UX 3.0"" paradigm framework and the corresponding UX methodology for UX practice in the intelligence era. The ""UX 3.0"" paradigm framework includes four categories of emerging experiences in the intelligence era: ecosystem-based experience, innovation-enabled experience, AI-enabled experience, and human-AI interaction-based experience, each compelling us to enhance current UX practice in terms of design philosophy, scope, focus, and methodology. We believe that the ""UX 3.0"" paradigm helps enhance existing UX practice and provides methodological support for the research and applications of UX in developing human-centered AI systems. Finally, this paper looks forward to future work implementing the ""UX 3.0"" paradigm.","Sun, 3 Mar 2024 20:30:10 UTC (499 KB)[v2] Thu, 7 Mar 2024 17:25:52 UTC (505 KB)"
"26","On the Time Orientation of Probability","Andrea Di Biagio, Carlo Rovelli","History and Philosophy of Physics (physics.hist-ph)","An influential theorem by Satosi Wantabe convinced many that there can be no genuinely probabilistic theory with both non-trivial forward and backward transition probabilities. We show that this conclusion does not follow from the theorem. We point out the flaw in the argument, and we showcase examples of theories with well-defined backward and forward transition probabilities.","Sat, 2 Mar 2024 01:55:46 UTC (14 KB)"
"27","Public Projects with Preferences and Predictions","Mary Monroe, Bo Waggoner","Computer Science and Game Theory (cs.GT)","In the public projects problem, a group of decisionmakers aggregate their preferences to choose one alternative. Recent work on public projects has proposed the Quadratic Transfers Mechanism (QTM) and shown asymptotic welfare guarantees in some cases. We begin by giving new non-asymptotic Price of Anarchy guarantees for the QTM. We then incorporate an alternative philosophy toward group decisionmaking, aggregation of information about which is the best alternative. We propose a public projects mechanism based on the QTM that aggregates both preferences and predictions, modeled as forecasts of the projects' welfare impacts. When the predictions come from a prediction market or wagering mechanism, we show the entire mechanism is robust to manipulation and give Price of Anarchy guarantees, though under strong assumptions on the mechanism's knowledge. Our results focus primarily on the case of deciding between two alternatives, showing the Price of Anarchy tends to $1$ as natural measures of the ""size"" of the population grow large. In most cases, the mechanisms achieve a balanced budget as well.","Sat, 2 Mar 2024 00:26:57 UTC (32 KB)"
"28","A framework for understanding data science","Michael L Brodie","Other Statistics (stat.OT)","The objective of this research is to provide a framework with which the data science community can understand, define, and develop data science as a field of inquiry. The framework is based on the classical reference framework (axiology, ontology, epistemology, methodology) used for 200 years to define knowledge discovery paradigms and disciplines in the humanities, sciences, algorithms, and now data science. I augmented it for automated problem-solving with (methods, technology, community). The resulting data science reference framework is used to define the data science knowledge discovery paradigm in terms of the philosophy of data science addressed in previous papers and the data science problem-solving paradigm, i.e., the data science method, and the data science problem-solving workflow, both addressed in this paper. The framework is a much called for unifying framework for data science as it contains the components required to define data science. For insights to better understand data science, this paper uses the framework to define the emerging, often enigmatic, data science problem-solving paradigm and workflow, and to compare them with their well-understood scientific counterparts, scientific problem-solving paradigm and workflow.","Wed, 14 Feb 2024 15:55:40 UTC (4,403 KB)"
