"title","author","subject","abstract","date"
"from s-matrix theory to strings: scattering data and the commitment to non-arbitrariness","robert van leeuwen","history and philosophy of physics","the early history of string theory is marked by a shift from strong interaction physics to quantum gravity. the first string models and associated theoretical framework were formulated in the late 1960s and early 1970s in the context of the s-matrix program for the strong interactions. in the mid-1970s, the models were reinterpreted as a potential theory unifying the four fundamental forces. this paper provides a historical analysis of how string theory was developed out of s-matrix physics, aiming to clarify how modern string theory, as a theory detached from experimental data, grew out of an s-matrix program that was strongly dependent upon observable quantities. surprisingly, the theoretical practice of physicists already turned away from experiment before string theory was recast as a potential unified quantum gravity theory. with the formulation of dual resonance models (the ""hadronic string theory""), physicists were able to determine almost all of the models' parameters on the basis of theoretical reasoning. it was this commitment to ""non-arbitrariness"", i.e., a lack of free parameters in the theory, that initially drove string theorists away from experimental input, and not the practical inaccessibility of experimental data in the context of quantum gravity physics. this is an important observation when assessing the role of experimental data in string theory.",2024-03-11
"unexpected quantum indeterminacy","andrea oldofredi","history and philosophy of physics","recent philosophical discussions about metaphysical indeterminacy have been substantiated with the idea that quantum mechanics, one of the most successful physical theories in the history of science, provides explicit instances of worldly indefiniteness. against this background, several philosophers underline that there are alternative formulations of quantum theory in which such indeterminacy has no room and plays no role. a typical example is bohmian mechanics in virtue of its clear particle ontology. contrary to these latter claims, this paper aims at showing that different pilot-wave theories do in fact instantiate diverse forms of metaphysical indeterminacy. namely, i argue that there are various questions about worldly states of affairs that cannot be determined by looking exclusively at their ontologies and dynamical laws. moreover, it will be claimed that bohmian mechanics generates a new form of modal indeterminacy. finally, it will be concluded that ontological clarity and indeterminacy are not mutually exclusive, i.e., the two can coexist in the same theory.",2024-03-11
"ac-eval: evaluating ancient chinese language understanding in large language models","yuting wei, yuanxing xu, xinru wei, simin yang, yangfu zhu, yuqing li, di liu, bin wu","computation and language","given the importance of ancient chinese in capturing the essence of rich historical and cultural heritage, the rapid advancements in large language models (llms) necessitate benchmarks that can effectively evaluate their understanding of ancient contexts. to meet this need, we present ac-eval, an innovative benchmark designed to assess the advanced knowledge and reasoning capabilities of llms within the context of ancient chinese. ac-eval is structured across three levels of difficulty reflecting different facets of language comprehension: general historical knowledge, short text understanding, and long text comprehension. the benchmark comprises 13 tasks, spanning historical facts, geography, social customs, art, philosophy, classical poetry and prose, providing a comprehensive assessment framework. our extensive evaluation of top-performing llms, tailored for both english and chinese, reveals a substantial potential for enhancing ancient text comprehension. by highlighting the strengths and weaknesses of llms, ac-eval aims to promote their development and application forward in the realms of ancient chinese language education and scholarly research. the ac-eval data and evaluation code are available at this https url.",2024-03-11
"bernardo dessau, fisico, scienziato, maestro, da bologna a perugia tra i marosi del secolo breve","giovanni carlotti (university of perugia, italia)","history and philosophy of physics","seventy-five years ago, bernardo dessau passed away. he had been the sole professor of physics at the university of perugia for thirty years. with this brief contribution we intend to repay a debt of gratitude, first of all because his scientific merits were probably underestimated, having spent the first fifteen years of his career under the shadow of the great augusto righi in bologna, where he also witnessed meetings with the young marconi. he was then relegated to the faculty of medicine of perugia, without a real laboratory, disregarded by the national scientific community and unable to move to better equipped locations. nevertheless, he proved to be a gifted teacher and popularizer of science. he published a comprehensive three-volume physics textbook that was widely used in italy and abroad. despite becoming an italian citizen in 1894, dessau's german origins led to his suspension from service during world war i. furthermore, his jewish identity made him a target of nazi-fascist antisemitism. he was dismissed from both the university of perugia and from the italian society of physics, of which he had been a member since its beginning, fortunately escaping deportation.",2024-03-10
"qcd at 50: golden anniversary, golden insights, golden opportunities","frank wilczek","high energy physics - phenomenology","the bulk of this paper centers around the tension between confinement and freedom in qcd. i discuss how it can be understood heuristically as a manifestation of self-adhesive glue and how it fits within the larger contexts of energy-time uncertainty and $\textit{real virtuality}$. i discuss the possible emergence of $\textit{treeons}$ as a tangible ingredient of (at least) pure gluon $su(3)$. i propose $\textit{flux channeling}$ as a method to address that and allied questions about triality flux numerically, and indicate how to implement it for electric and magnetic flux in material systems. that bulk is framed with broad-stroke, necessarily selective sketches of the past and possible future of strong interaction physics. at the end, i've added an expression of gratitude for my formative experience at the erice school, in 1973.",2024-03-09
"and then the hammer broke: reflections on machine ethics from feminist philosophy of science","andre ye","computers and society","vision is an important metaphor in ethical and political questions of knowledge. the feminist philosopher donna haraway points out the ``perverse'' nature of an intrusive, alienating, all-seeing vision (to which we might cry out ``stop looking at me!''), but also encourages us to embrace the embodied nature of sight and its promises for genuinely situated knowledge. current technologies of machine vision -- surveillance cameras, drones (for war or recreation), iphone cameras -- are usually construed as instances of the former rather than the latter, and for good reasons. however, although in no way attempting to diminish the real suffering these technologies have brought about in the world, i make the case for understanding technologies of computer vision as material instances of embodied seeing and situated knowing. furthermore, borrowing from iris murdoch's concept of moral vision, i suggest that these technologies direct our labor towards self-reflection in ethically significant ways. my approach draws upon paradigms in computer vision research, phenomenology, and feminist epistemology. ultimately, this essay is an argument for directing more philosophical attention from merely criticizing technologies of vision as ethically deficient towards embracing them as complex, methodologically and epistemologically important objects.",2024-03-09
"the vatican and the fallibility of science: augustine, copernicus, darwin and race","christopher m. graney","history and philosophy of physics","this paper provides an overview of work, published since the opening of the archives of the vatican congregation for the doctrine of the faith at the end of the twentieth century, regarding the vatican confronting evolution in the nineteenth century. it argues that this work, considered in light of recent studies of scientific writings by jesuit astronomers who in the seventeenth century were opposed to the ideas of copernicus, points to interesting things yet to be learned regarding the vatican's actions on heliocentrism. concern for scripture and for the fallible and consequential nature of science, together with the processes used by the vatican in these confrontations, inevitably led to messy results in these well-known ""religion and science"" confrontations. nevertheless, these confrontations suggest that what the vatican was attempting to do in confronting evolution or heliocentrism is something that is needed in science, and something that will be done in the future, probably not by the vatican, and probably in a fashion not less messy.",2024-03-08
"c.v. raman as a science communicator: a historical perspective","g.v. pavan kumar","history and philosophy of physics","c.v. raman (1888 - 1970) was a creative scientist, enthusiastic teacher and a science celebrity in india. in all these roles, he communicated science effectively. in this essay, i ask how and why did he communicate science. i take a few examples from his research writings and show his ability to explain science lucidly. by looking into his thoughts on teaching and those of his students, i explore raman, the teacher. finally, i discuss a few aspects of his methods to communicate science to the public. i emphasize his exposition and reveal a dichotomy.",2024-02-27
"promising stabs in the dark: theory virtues and pursuit-worthiness in the dark energy problem","william j. wolf, patrick m. duerr","history and philosophy of physics","the paper argues that we ought to conceive of the dark energy problem -- the question of how to account for observational data, naturally interpreted as accelerated expansion of the universe -- as a crisis of underdetermined pursuit-worthiness. not only are the various approaches to the dark energy problem evidentially underdetermined; at present, no compelling reasons single out any of them as more likely to be true than the other. more vexingly for working scientists, none of the approaches stands out as uncontroversially preferable over its rivals in terms of its rationally warranted promise, i.e. the reasons to further work on, explore and develop it. we demonstrate this claim by applying a peircean economic model of pursuit-worthiness in terms of a cognitive cost/benefit estimate -- with the instantiation of theory virtues as key indicators of cognitive gains -- to the four main dark energy proposals (the cosmological constant approach, modified gravity, quintessence, and inhomogeneous cosmologies). our analysis yields that these approaches do not admit of an unambiguous, or uncontroversial, ranking with respect to which ansatz deserves distinguished attention and research efforts. the overall methodological counsel that our analysis underwrites recommends a pragmatic double research strategy forward: to encourage and foster theory pluralism and the search for tests -- with the goal of enhancing the testability of the $\lambda$cdm model and ""testing it to destruction"".",2024-03-07
"relational quantum mechanics, quantum relativism, and the iteration of relativity","timotheus riedel","history and philosophy of physics","the idea that the dynamical properties of quantum systems are invariably relative to other systems has recently regained currency. using relational quantum mechanics (rqm) for a case study, this paper calls attention to a question that has been underappreciated in the debate about quantum relativism: the question of whether relativity iterates. are there absolute facts about the properties one system possesses relative to a specified reference, or is this again a relative matter, and so on? it is argued that rqm (in its best-known form) is committed to what i call the unrestricted iteration principle (uip), and thus to an infinite regress of relativisations. this principle plays a crucial role in ensuring the communicability and coherence of interaction outcomes across observers. it is, however, shown to be incompatible with the widespread, conservative reading of rqm in terms of relations, instead necessitating the adoption of the more unorthodox notion of perspectival facts. i conclude with some reflections on the current state of play in perspectivist versions of rqm and quantum relativism more generally, underscoring both the need for further conceptual development and the importance of the iteration principle for an accurate cost-benefit analysis of such interpretations.",2024-03-06
"lars brink: november 12, 1943 - october 29, 2022","bengt e.w. nilsson (chalmers u. tech.), björn jonson (chalmers u. tech.)","history and philosophy of physics","we give some personal reflections on the person and scientist lars brink and on some of his scientific achievements. our relations to lars are briefly described in [1] and [2], while the sources relevant for this text are summarised in [3].",2024-03-06
"astronomical lunisolar cycles and late antique chronology","d. n. starostin","history and philosophy of physics","this article advances the hypothesis that the heightened eschatological sensitivity evident among the historians writing in the 5th century and its weaker echos in the time of charlemagne were caused by the irregularities of the the lunisolar calendar and its particular realization, the easter calendar. the lunisolar calendar that christians used for the calculation of the date of the easter had a number of key periods when the cycles of the sun and the moon came in sync in relationship to the beginning of the count and thus produced an effect of the times repeating themselves or ending with the nearly precise astronomical repetition. it is shown that late antique scholars who were actively involved in the construction of the christian history's chronology were limited in their choices by the astronomical peculiarities of the earth-moon system. the total conjunctions of the astronomical solar and lunar calendars took place, some within the 1st century ce, and the next one, in 483 ce. this was also a special year because the lunar calendar lost one day. thus the 5th century was the time of heightened expectations of whether the calendar and the moon's showings will repeat those that accompanied the birth of jesus. the full supermoon (or whatever phase it was on december 25th, 1 bce) may have repeated in 410 ce (the entry of goths into rome), in 467 ce and in 476 ce (the fall of the roman empire), marking the coming of the time very similar to jesus' birth. the full moon was supposed to repeat december 25th, 800 ce and in the year 1000 ce. this may have determined the setting of the biblical calendar in a way that put the birth of christ on 5199 ce (making the year 800 ce, the year of the full supermoon or of its phase on december 25th, 1 bce) a critical turning point.",2024-03-06
"should we fear large language models? a structural analysis of the human reasoning system for elucidating llm capabilities and risks through the lens of heidegger's philosophy","jianqiiu zhang","artificial intelligence","in the rapidly evolving field of large language models (llms), there is a critical need to thoroughly analyze their capabilities and risks. central to our investigation are two novel elements. firstly, it is the innovative parallels between the statistical patterns of word relationships within llms and martin heidegger's concepts of ""ready-to-hand"" and ""present-at-hand,"" which encapsulate the utilitarian and scientific altitudes humans employ in interacting with the world. this comparison lays the groundwork for positioning llms as the digital counterpart to the faculty of verbal knowledge, shedding light on their capacity to emulate certain facets of human reasoning. secondly, a structural analysis of human reasoning, viewed through heidegger's notion of truth as ""unconcealment"" is conducted this foundational principle enables us to map out the inputs and outputs of the reasoning system and divide reasoning into four distinct categories. respective cognitive faculties are delineated, allowing us to place llms within the broader schema of human reasoning, thus clarifying their strengths and inherent limitations. our findings reveal that while llms possess the capability for direct explicative reasoning and pseudo rational reasoning, they fall short in authentic rational reasoning and have no creative reasoning capabilities, due to the current lack of many analogous ai models such as the faculty of judgement. the potential and risks of llms when they are augmented with other ai technologies are also evaluated. the results indicate that although llms have achieved proficiency in some reasoning abilities, the aspiration to match or exceed human intellectual capabilities is yet unattained. this research not only enriches our comprehension of llms but also propels forward the discourse on ai's potential and its bounds, paving the way for future explorations into ai's evolving landscape.",2024-03-05
"a very, very peculiar telescope of the 1610s","paolo del santo","history and philosophy of physics","a re-examination of a well-known iconographic source, the ""allegory of sight"" by jan brueghel the elder and peter paul rubens, reveals that one of the two telescopes depicted in the painting has a highly unusual,and until now unknown to the historians of the telescope, particularity.",2024-03-05
"a ""user experience 3.0 (ux 3.0)"" paradigm framework: user experience design for human-centered ai systems","wei xu","human-computer interaction","the human-centered artificial intelligence (hcai) design approach, the user-centered design (ucd) version in the intelligence era, has been promoted to address potential negative issues caused by ai technology; user experience design (uxd) is specifically called out to facilitate the design and development of human-centered ai systems. over the last three decades, user experience (ux) practice can be divided into three stages in terms of technology platform, user needs, design philosophy, ecosystem, scope, focus, and methodology of ux practice. ux practice is moving towards the intelligence era. still, the existing ux paradigm mainly aims at non-intelligent systems and lacks a systematic approach to address ux for designing and developing human-centered ai products and systems. the intelligence era has put forward new demands on the ux paradigm. this paper proposes a ""ux 3.0"" paradigm framework and the corresponding ux methodology for ux practice in the intelligence era. the ""ux 3.0"" paradigm framework includes four categories of emerging experiences in the intelligence era: ecosystem-based experience, innovation-enabled experience, ai-enabled experience, and human-ai interaction-based experience, each compelling us to enhance current ux practice in terms of design philosophy, scope, focus, and methodology. we believe that the ""ux 3.0"" paradigm helps enhance existing ux practice and provides methodological support for the research and applications of ux in developing human-centered ai systems. finally, this paper looks forward to future work implementing the ""ux 3.0"" paradigm.",2024-03-03
"on the time orientation of probability","andrea di biagio, carlo rovelli","history and philosophy of physics","an influential theorem by satosi wantabe convinced many that there can be no genuinely probabilistic theory with both non-trivial forward and backward transition probabilities. we show that this conclusion does not follow from the theorem. we point out the flaw in the argument, and we showcase examples of theories with well-defined backward and forward transition probabilities.",2024-03-02
"public projects with preferences and predictions","mary monroe, bo waggoner","computer science and game theory","in the public projects problem, a group of decisionmakers aggregate their preferences to choose one alternative. recent work on public projects has proposed the quadratic transfers mechanism (qtm) and shown asymptotic welfare guarantees in some cases. we begin by giving new non-asymptotic price of anarchy guarantees for the qtm. we then incorporate an alternative philosophy toward group decisionmaking, aggregation of information about which is the best alternative. we propose a public projects mechanism based on the qtm that aggregates both preferences and predictions, modeled as forecasts of the projects' welfare impacts. when the predictions come from a prediction market or wagering mechanism, we show the entire mechanism is robust to manipulation and give price of anarchy guarantees, though under strong assumptions on the mechanism's knowledge. our results focus primarily on the case of deciding between two alternatives, showing the price of anarchy tends to $1$ as natural measures of the ""size"" of the population grow large. in most cases, the mechanisms achieve a balanced budget as well.",2024-03-02
"a framework for understanding data science","michael l brodie","other statistics","the objective of this research is to provide a framework with which the data science community can understand, define, and develop data science as a field of inquiry. the framework is based on the classical reference framework (axiology, ontology, epistemology, methodology) used for 200 years to define knowledge discovery paradigms and disciplines in the humanities, sciences, algorithms, and now data science. i augmented it for automated problem-solving with (methods, technology, community). the resulting data science reference framework is used to define the data science knowledge discovery paradigm in terms of the philosophy of data science addressed in previous papers and the data science problem-solving paradigm, i.e., the data science method, and the data science problem-solving workflow, both addressed in this paper. the framework is a much called for unifying framework for data science as it contains the components required to define data science. for insights to better understand data science, this paper uses the framework to define the emerging, often enigmatic, data science problem-solving paradigm and workflow, and to compare them with their well-understood scientific counterparts, scientific problem-solving paradigm and workflow.",2024-02-14
"do zombies understand? a choose-your-own-adventure exploration of machine cognition","ariel goldstein, gabriel stanovsky","computation and language","recent advances in llms have sparked a debate on whether they understand text. in this position paper, we argue that opponents in this debate hold different definitions for understanding, and particularly differ in their view on the role of consciousness. to substantiate this claim, we propose a thought experiment involving an open-source chatbot $z$ which excels on every possible benchmark, seemingly without subjective experience. we ask whether $z$ is capable of understanding, and show that different schools of thought within seminal ai research seem to answer this question differently, uncovering their terminological disagreement. moving forward, we propose two distinct working definitions for understanding which explicitly acknowledge the question of consciousness, and draw connections with a rich literature in philosophy, psychology and neuroscience.",2024-03-01
"axe the x in xai: a plea for understandable ai","andrés páez","artificial intelligence","in a recent paper, erasmus et al. (2021) defend the idea that the ambiguity of the term ""explanation"" in explainable ai (xai) can be solved by adopting any of four different extant accounts of explanation in the philosophy of science: the deductive nomological, inductive statistical, causal mechanical, and new mechanist models. in this chapter, i show that the authors' claim that these accounts can be applied to deep neural networks as they would to any natural phenomenon is mistaken. i also provide a more general argument as to why the notion of explainability as it is currently used in the xai literature bears little resemblance to the traditional concept of scientific explanation. it would be more fruitful to use the label ""understandable ai"" to avoid the confusion that surrounds the goal and purposes of xai. in the second half of the chapter, i argue for a pragmatic conception of understanding that is better suited to play the central role attributed to explanation in xai. following kuorikoski & ylikoski (2015), the conditions of satisfaction for understanding an ml system are fleshed out in terms of an agent's success in using the system, in drawing correct inferences from it.",2024-03-01
"an improved calendar ring hole-count for the antikythera mechanism","graham woan, joseph bayley","history and philosophy of physics","we present a new analysis of the positions of holes beneath the calendar ring of the antikythera mechanism, as measured by budiselic et al. (2020). we significantly refine their estimate for the number of holes that were present in the full ring. our $68\%$-credible estimate for this number, taking account of all the data, is $355.24^{ +1.39 }_{ -1.36 }$. if holes adjacent to fractures are removed from the analysis, our estimate becomes $354.08^{ +1.47}_{-1.41}$. a ring of 360 holes is strongly disfavoured, and one of 365 holes is not plausible, given our model assumptions.",2024-02-29
"refraction, the speed of light and minimal action: from descartes to maupertuis through many more","shahen hacyan","history and philosophy of physics","in the 17th and 18th centuries, several natural philosophers studied the phenomenon of refraction and attempted to obtain the snell law from various assumptions. lacking experimental data, it was generally believed that light travels faster in a refracting medium than in air. in the present article, i review the contributions to the problem of light refraction by descartes, fermat, huygens, leibniz, newton, clairaut, and finally maupertuis who established a principle of least action based on his own approach to the problem.",2024-02-29
"the author of a quotation goethe adduced against newton","hubert kalf","history and overview","the hitherto unknown author of a citation by goethe in his history of colours is identified as j. e. montucla and the context of montucla's quotation is discussed.",2024-02-29
"exploring multilingual human value concepts in large language models: is value alignment consistent, transferable and controllable across languages?","shaoyang xu, weilong dong, zishan guo, xinwei wu, deyi xiong","computation and language","prior research in representation engineering has revealed that llms encode concepts within their representation spaces, predominantly centered around english. in this study, we extend this philosophy to a multilingual scenario, delving into multilingual human value concepts in llms. through our comprehensive exploration covering 7 types of human values, 16 languages and 3 llm series with distinct multilinguality, we empirically substantiate the existence of multilingual human values in llms. further cross-lingual analysis on these concepts discloses 3 traits arising from language resource disparities: cross-lingual inconsistency, distorted linguistic relationships, and unidirectional cross-lingual transfer between high- and low-resource languages, all in terms of human value concepts. additionally, we validate the feasibility of cross-lingual control over value alignment capabilities of llms, leveraging the dominant language as a source language. drawing from our findings on multilingual value alignment, we prudently provide suggestions on the composition of multilingual data for llms pre-training: including a limited number of dominant languages for cross-lingual alignment transfer while avoiding their excessive prevalence, and keeping a balanced distribution of non-dominant languages. we aspire that our findings would contribute to enhancing the safety and utility of multilingual ai.",2024-02-28
"the mechanical turkness: tactical media art and the critique of corporate ai","dejan grba","computers and society","the extensive industrialization of artificial intelligence (ai) since the mid-2010s has increasingly motivated artists to address its economic and sociopolitical consequences. in this chapter, i discuss interrelated art practices that thematize creative agency, crowdsourced labor, and delegated artmaking to reveal the social rootage of ai technologies and underline the productive human roles in their development. i focus on works whose poetic features indicate broader issues of contemporary ai-influenced science, technology, economy, and society. by exploring the conceptual, methodological, and ethical aspects of their effectiveness in disrupting the political regime of corporate ai, i identify several problems that affect their tactical impact and outline potential avenues for tackling the challenges and advancing the field.",2024-02-27
